,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,0JR95zeccPfpDB1WhYBOAd,Our Lady Peace,Naveed,Hope,24,313973,FALSE,0.553,0.846,6,-8.037,0,0.0379,0.00157,0,0.0693,0.347,125.258,4,grunge
1,3PDNGdhCtiQemL14eKhCup,"nothing,nowhere.",Trauma Factory,lights (4444),52,160422,TRUE,0.718,0.69,0,-7.299,1,0.0795,0.0419,0.000419,0.105,0.428,89.982,4,sad
2,1HT0RzPuChHC1kWbIplHyw,Rahat Fateh Ali Khan;Shreya Ghoshal,Bodyguard,Teri Meri,62,325311,FALSE,0.401,0.517,2,-6.618,0,0.0481,0.0661,0,0.202,0.471,128.451,4,pop-film
3,7CcxIeSvx9NE2X8EumKGJL,A.R. Rahman;NJ;Neeraj Madhav,"Porattam (From ""Vendhu Thanindhathu Kaadu"")","Porattam - From ""Vendhu Thanindhathu Kaadu""",56,122175,FALSE,0.452,0.868,1,-6.03,1,0.248,0.234,0,0.0783,0.512,196.512,3,pop-film
4,5ZEc110fxhvZTkIxnBC8hD,SadBoyProlific,Merlin,Merlin,51,192738,TRUE,0.744,0.346,8,-13.948,1,0.318,0.872,0.0000062,0.132,0.375,90.076,4,sad
5,4C81bkQ2tkMmYk4bGFCrv5,Armaan Malik;TRI.BE;Lost Stories,Memu Aagamu,Memu Aagamu,59,167547,FALSE,0.76,0.772,3,-4.08,0,0.0703,0.046,0.00627,0.112,0.683,106.02,4,pop-film
6,0Ys4J7iim6STsGeLmFLWIo,Nohidea;Ben Beal;sophie meiers,Smile,Smile,58,144040,TRUE,0.531,0.487,2,-10.321,0,0.22,0.911,0.00201,0.222,0.749,75.487,4,chill
7,6B9lhkmdN6EjRCPwoTpjpF,Gin Blossoms,The Best Of Gin Blossoms 20th Century Masters The Millennium Collection,Allison Road,33,198933,FALSE,0.462,0.961,2,-3.393,1,0.0603,0.00342,0,0.26,0.92,134.739,4,grunge
8,7c1Dar0pIAW7w5TzaGjt9t,Jane's Addiction,Nothing's Shocking,Jane Says,66,287000,FALSE,0.402,0.597,2,-9.258,1,0.0327,0.0385,0.00000209,0.109,0.496,81.806,4,grunge
9,3wyrhwPpV8uhMMEms4vG3X,BTS,You Never Walk Alone,Not Today,71,231859,FALSE,0.593,0.945,8,-3.408,1,0.126,0.00174,0,0.923,0.674,110.023,4,k-pop
10,1ZPeaPDjQOOC8hw1mNjyjF,BTS,Love Yourself ? 'Her',Pied Piper,75,245620,FALSE,0.583,0.712,2,-4.942,0,0.0326,0.2,0,0.268,0.778,94.051,4,k-pop
11,7o1yzUVkQt2Gto5yYvzo2T,Shankar-Ehsaan-Loy;Shankar Mahadevan,Lakshya (Original Motion Picture Soundtrack),Lakshya,57,375706,FALSE,0.64,0.743,5,-6.612,1,0.0524,0.0616,0.0000201,0.25,0.727,94.972,4,pop-film
12,2tI4WyzqOOwC23S5m0kqcB,Pink Sweat$,At My Worst (Joel Corry Remix),At My Worst,49,170344,FALSE,0.813,0.415,0,-5.926,1,0.0349,0.777,0,0.131,0.667,91.921,4,chill
13,0o2Jngx6YVivDjE6RqqFlF,raspy;Bangers Only,roxstar,roxstar,54,150883,TRUE,0.862,0.539,1,-6.975,1,0.0788,0.225,0,0.111,0.439,130.03,4,sad
14,6VfK6BuYSrjYm2w5hjUWN4,Linkin Park,Minutes to Midnight (Deluxe Edition),Shadow of the Day,41,289633,FALSE,0.503,0.373,11,-8.367,1,0.0304,0.0148,0.0289,0.109,0.044,109.74,4,grunge
15,6KA2YcsQZlQD8f8uvKjPXw,Powfu,"some boring love stories, pt. 4",Hear my thoughts,51,137368,FALSE,0.667,0.446,5,-10.801,0,0.38,0.892,0,0.101,0.311,76.53,4,sad
16,5s9Kd33ExIhpe1JJSj5zLZ,Shreya Ghoshal;Osman Mir,Goliyon Ki Raasleela Ram-Leela (Original Motion Picture Soundtrack),Nagada Sang Dhol,61,273256,FALSE,0.743,0.921,3,-5.005,0,0.133,0.289,0.0064,0.0402,0.686,113.3,3,pop-film
17,0zKs47fghFBtrEpxyUR1Wz,Linkin Park,One More Light Live,Burn It Down - One More Light Live,44,253573,TRUE,0.658,0.781,9,-6.472,0,0.0509,0.0639,0,0.485,0.542,110.008,4,grunge
18,6cxe7wIuwH7ul9XI7D853w,Dvwn,"The Uncanny Counter (Original Television Soundtrack), Pt. 3",No Problem,51,211999,FALSE,0.439,0.266,2,-7.548,1,0.0329,0.57,0,0.108,0.242,69.611,4,chill
19,0ZodhAcRJFd0AqfiRdiuAP,iamjakehill,Die a King,Die a King,45,169061,TRUE,0.632,0.946,0,-2.784,0,0.277,0.192,0,0.495,0.324,125.061,3,sad
20,5XfQTbialQHn9PhDb0p85H,Buckcherry,15,Crazy Bitch,68,204960,TRUE,0.661,0.978,1,-3.064,0,0.107,0.0247,0,0.0856,0.592,98.019,4,grunge
21,3HhHP56irp6Z0c8q0gv6tK,Shinedown,The Studio Album Collection,Bully,31,242746,FALSE,0.519,0.969,6,-2.34,0,0.0662,0.0000903,0,0.111,0.48,77.011,4,grunge
22,2h0FPaYBXNaBNh50W8m3Hc,Powfu;Mounika.,some boring love stories pt 5,stay4ever (feat. Mounika.),49,140719,FALSE,0.387,0.375,3,-9.172,1,0.273,0.822,0.000154,0.109,0.418,73.045,4,sad
23,4FthwGFz9SVZgCVqxNXsSK,Adelitas Way,Adelitas Way,Invincible,64,190133,TRUE,0.405,0.962,11,-4.894,1,0.0842,0.000213,0.00000231,0.108,0.489,170.023,4,grunge
24,1B8WdDScvobpFsZLfdmIE1,Linkin Park,Hybrid Theory,A Place for My Head,45,184640,FALSE,0.603,0.908,11,-5.254,1,0.184,0.0144,0,0.671,0.457,133.063,4,grunge
25,5rqV8nkm4TM1AtuByswVKa,Creed,Full Circle,On My Sleeve,55,254386,FALSE,0.452,0.911,4,-3.859,1,0.0592,0.00198,0,0.108,0.221,144.028,4,grunge
26,00PXj8pxWLJ3apEnCPJTNI,Bombay Jayashri;Harish Raghavendra;O.S. Arun,Majunu,Mudher Kanave,62,310706,FALSE,0.692,0.709,2,-10.778,1,0.0502,0.154,0.00000146,0.167,0.714,102.999,4,pop-film
27,22sDLvlzAJzH0BHiMSOfRP,Pearl Jam,Lightning Bolt,Future Days,55,262893,FALSE,0.538,0.266,1,-12.464,1,0.0277,0.41,0,0.0639,0.174,106.952,4,grunge
28,3JAu2BH8sSI46rJGzQerb6,Linkin Park,Hybrid Theory,Forgotten,43,194426,FALSE,0.615,0.947,8,-3.817,0,0.11,0.0132,0,0.366,0.498,108.193,4,grunge
29,4fVyrplBcb6lVgij1b8pIO,JUNNY,blanc,Not About You,54,236396,FALSE,0.7,0.595,3,-7.066,1,0.0351,0.0996,0,0.0788,0.354,113.022,4,chill
30,17bgialGAwoiGj1STY4cnR,Linkin Park,Meteora,Easier to Run,49,204173,FALSE,0.545,0.861,3,-4.819,0,0.034,0.0624,0,0.131,0.279,105.017,4,grunge
31,2nEntnpNpsJNhw1wLY8O96,Ritviz,Ved,Jeet,58,184848,FALSE,0.787,0.734,0,-6.465,1,0.0703,0.364,0.000995,0.0625,0.644,98.989,4,pop-film
32,2e8F1M3b7dI2GDUDZh6c9l,Alter Bridge,Pawns & Kings,This is War,53,243622,FALSE,0.376,0.932,3,-5.342,1,0.0984,0.00000499,0.0000213,0.318,0.319,163.956,4,grunge
33,1EU3VuKGZOvd1HTkxLPUXK,Linkin Park,Meteora (Bonus Edition),Nobody's Listening,57,178866,FALSE,0.502,0.831,2,-3.723,1,0.295,0.105,0.0000013,0.174,0.451,199.972,3,grunge
34,6kekHWEQ4SyMe5EjYAlveP,Yuvan Shankar Raja;Sid Sriram,"High On Love (From ""Pyaar Prema Kaadhal"" Original Motion Picture Soundtrack)",High On Love,65,240169,FALSE,0.627,0.779,4,-4.944,0,0.0392,0.214,0.00000934,0.112,0.619,149.929,4,k-pop
35,1glms9EfGPeDFhBWT3ym7f,creamy;untrusted;11:11 Music Group,stuck in the middle,stuck in the middle,22,193500,FALSE,0.79,0.532,6,-8.617,1,0.0311,0.713,0,0.104,0.696,119.915,4,sad
36,7uHRKSQ9WIlBBuBY7BHcbq,ilyTOMMY,Forever,Forever,71,108695,FALSE,0.613,0.339,5,-14.908,0,0.135,0.678,0,0.166,0.292,106.582,5,sad
37,7aqhFo8oXyOCDZlOF41Fcd,Kado,Take It All,Take It All,56,176404,TRUE,0.81,0.491,11,-6.953,1,0.0609,0.118,0,0.284,0.511,90.524,4,sad
38,2Fi9ToRsQ3RmhPQbzCXHFa,Lund,Project Of A Person,Issues,50,188560,TRUE,0.754,0.517,11,-7.598,1,0.0368,0.587,0,0.0971,0.299,120.061,4,sad
39,5q2MZwkvdw28qv0WPsRPHA,A.R. Rahman;Srinivas,Jodhaa Akbar (Tamil) [Original Motion Picture Soundtrack],Muzumathi,60,312453,FALSE,0.708,0.325,2,-11.414,1,0.0369,0.819,0.00000142,0.0827,0.567,137.814,4,pop-film
